Unique,Average,Detached,Semi-Detached,Terraced,Flats,Other,Total,averageDetached,averageSemi-Detached,averageTerraced,averageFlats,averageOther,LONG,LAT
Hartlepool,135812.4666,261,371,411,47,78,1168,232198.5479,124036.4501,63770.43309,93711.70213,274275.8846,-1.27018,54.67614
Middlesbrough,143658.2619,359,625,590,69,60,1703,236621.6379,132168.3728,70079.18983,77092.75362,507191.6167,-1.21099,54.54467
Redcar and Cleveland,139082.778,380,712,496,91,69,1748,220058.0263,125599.9789,86642.44556,105884.3736,253004.7826,-1.00608,54.56752
Stockton-on-Tees,177457.2493,787,1042,665,83,115,2692,247012.4612,129569.4443,94857.57594,102772.9759,666906.9739,-1.30664,54.55691
Darlington,161999.1167,294,530,455,88,72,1439,231001.7007,145969.2302,107001.9692,108419.3182,411274.1806,-1.56835,54.53534
Halton,176444.3516,370,475,517,68,86,1516,255789.327,144144.2716,96958.07544,80714.61765,567013.2326,-2.68853,53.33424
Warrington,245841.0646,674,1058,761,213,142,2848,332008.2626,185337.5794,134625.9001,112329.9577,1083929.81,-2.56167,53.39163
Blackburn with Darwen,176948.038,241,395,802,44,96,1578,233506.2822,135392.9747,98859.72569,89975,898170.4688,-2.4636,53.7008
Blackpool,130557.6397,155,835,776,176,159,2101,206403.2323,123825.4144,97223.72036,75438.64205,315673.4025,-3.02199,53.82164
"Kingston upon Hull, City of",260771.6512,258,818,1106,136,225,2543,202810.5775,128529.3753,106473.6184,107821.6029,1658918.182,-0.30382,53.7692
East Riding of Yorkshire,207393.8313,1896,1878,1322,428,243,5767,274616.0775,162027.9803,130728.2148,114106.6192,614894.0823,-0.66195,53.88112
North East Lincolnshire,136434.7387,537,796,812,126,106,2377,206036.879,133280.3291,80330.70567,111782.9206,266596.6698,-0.13911,53.52327
North Lincolnshire,162585.4947,910,907,380,59,101,2357,201649.5495,114022.4675,96663.91316,67903.45763,550058.9307,-0.52407,53.58643
York,314505.1405,509,873,811,588,158,2939,372699.5521,242076.1226,250596.0049,235272.8605,1150128.348,-1.07375,53.96582
Derby,198081.2046,807,1187,860,289,126,3269,251985.3742,149367.1247,118832.6209,113866.7578,1045816.96,-1.47189,52.91464
Leicester,207405.8857,356,998,1311,538,602,3805,292534.0562,175766.3567,149098.1312,117448.4052,416889.6262,-1.1304,52.63592
Rutland,313529.2544,264,141,159,29,36,629,392117.8561,240875,230891.8868,147538.1034,520472.1389,-0.6263,52.66765
Nottingham,221201.0582,556,1033,1276,575,217,3657,250343.7212,148178.7222,114283.6826,126291.5478,1374326.829,-1.16667,52.95419
"Herefordshire, County of",400813.6367,1328,964,858,522,311,3983,435857.8178,326319.1245,267534.5629,274178.1111,1062328.836,-2.73931,52.08154
Telford and Wrekin,182661.943,887,792,645,145,128,2597,246697.4419,147160.202,125468.9876,84135.64138,358393.6719,-2.48941,52.71417
Stoke-on-Trent,147358.9989,569,1376,1347,102,173,3567,205062.9525,115327.1483,78008.61915,77872.83333,793282.8555,-2.15888,53.01707
Bath and North East Somerset,432289.0161,594,628,888,458,164,2732,524790.9327,334607.7468,351566.7218,298699.3341,1281454.689,-2.48654,51.35604
"Bristol, City of",333367.5588,269,1273,2637,2146,341,6666,516278.9851,319595.9914,298550.5047,231888.0252,1148369.56,-2.57742,51.47115
North Somerset,283339.1395,898,902,717,829,166,3512,392515.0947,252387.5089,222243.0962,171084.1098,685409.2952,-2.75438,51.39706
South Gloucestershire,310098.6681,890,1161,1239,593,163,4046,395774.409,272250.9871,235124.912,170400.1012,1189997.331,-2.46922,51.54673
Plymouth,228459.0288,412,922,1626,676,189,3825,299796.585,190640.5011,165757.5,129874.0636,1149484.063,-4.11297,50.40494
Torbay,229424.9557,590,543,706,717,128,2684,317308.7271,211186.6814,180572.4504,137942.9038,683600.4063,-3.55523,50.47092
Swindon,245750.7587,764,909,1368,695,123,3859,341826.6545,236621.1199,189504.7332,137734.9324,952355.7967,-1.73367,51.57763
Peterborough,231853.9668,784,795,885,365,150,2979,287462.4911,177108.1723,142041.826,106471.6411,1066348.08,-0.26874,52.59214
Luton,251296.8322,218,855,701,503,250,2527,372033.9725,265300.552,222680.5592,132782.0755,416813.044,-0.42319,51.89102
Southend-on-Sea,286643.1074,366,685,600,1164,165,2980,493858.5246,335798.9401,276527.06,189369.5902,345936.5273,0.706923,51.54917
Thurrock,331189.3003,311,747,863,598,88,2607,432791.4855,315912.5328,265168.1356,173863.7793,1818352.852,0.334861,51.50998
Medway,250587.8815,480,1008,1923,590,144,4145,392761.6833,271568.3988,215796.8627,168061.9136,432543.8819,0.563174,51.44772
Bracknell Forest,500638.5792,387,359,549,356,79,1730,614645,397716.0446,330083.8506,238196.4888,2777760.544,-0.73363,51.4113
West Berkshire,487576.8554,591,503,429,328,148,1999,597215.6396,349983.6223,298689.1282,229855.3628,1636079.284,-1.27364,51.44559
Reading,401260.165,172,436,701,755,106,2170,572675.8837,380111.6537,311965.368,237325.0358,1968278.302,-0.99071,51.45302
Slough,435270.6912,101,289,394,566,62,1412,536229.4554,412199.5121,334985.6624,224438.8445,2940332.984,-0.57617,51.5035
Windsor and Maidenhead,710357.5317,458,402,385,436,147,1828,935525.3406,502492.107,496764.4597,384907.5826,2101953.143,-0.67541,51.48034
Wokingham,477717.9863,795,573,447,373,80,2268,618244.7182,415296.7365,347449.311,259011.4424,1275921.275,-0.89935,51.42296
Milton Keynes,327274.0382,985,938,1047,875,130,3975,426725.9807,270747.9392,227587.2684,169198.0949,1848426.469,-0.7407,52.07241
