Unique,Average,Detached,Semi-Detached,Terraced,Flats,Other,Total,averagesValue,averages
Hartlepool,135812.4666,261,371,411,47,78,1168,232198.5479,averageDetached
Hartlepool,135812.4666,261,371,411,47,78,1168,124036.4501,averageSemi-Detached
Hartlepool,135812.4666,261,371,411,47,78,1168,63770.43309,averageTerraced
Hartlepool,135812.4666,261,371,411,47,78,1168,93711.70213,averageFlats
Hartlepool,135812.4666,261,371,411,47,78,1168,274275.8846,averageOther
Middlesbrough,143658.2619,359,625,590,69,60,1703,236621.6379,averageDetached
Middlesbrough,143658.2619,359,625,590,69,60,1703,132168.3728,averageSemi-Detached
Middlesbrough,143658.2619,359,625,590,69,60,1703,70079.18983,averageTerraced
Middlesbrough,143658.2619,359,625,590,69,60,1703,77092.75362,averageFlats
Middlesbrough,143658.2619,359,625,590,69,60,1703,507191.6167,averageOther
Redcar and Cleveland,139082.778,380,712,496,91,69,1748,220058.0263,averageDetached
Redcar and Cleveland,139082.778,380,712,496,91,69,1748,125599.9789,averageSemi-Detached
Redcar and Cleveland,139082.778,380,712,496,91,69,1748,86642.44556,averageTerraced
Redcar and Cleveland,139082.778,380,712,496,91,69,1748,105884.3736,averageFlats
Redcar and Cleveland,139082.778,380,712,496,91,69,1748,253004.7826,averageOther
Stockton-on-Tees,177457.2493,787,1042,665,83,115,2692,247012.4612,averageDetached
Stockton-on-Tees,177457.2493,787,1042,665,83,115,2692,129569.4443,averageSemi-Detached
Stockton-on-Tees,177457.2493,787,1042,665,83,115,2692,94857.57594,averageTerraced
Stockton-on-Tees,177457.2493,787,1042,665,83,115,2692,102772.9759,averageFlats
Stockton-on-Tees,177457.2493,787,1042,665,83,115,2692,666906.9739,averageOther
Darlington,161999.1167,294,530,455,88,72,1439,231001.7007,averageDetached
Darlington,161999.1167,294,530,455,88,72,1439,145969.2302,averageSemi-Detached
Darlington,161999.1167,294,530,455,88,72,1439,107001.9692,averageTerraced
Darlington,161999.1167,294,530,455,88,72,1439,108419.3182,averageFlats
Darlington,161999.1167,294,530,455,88,72,1439,411274.1806,averageOther
Halton,176444.3516,370,475,517,68,86,1516,255789.327,averageDetached
Halton,176444.3516,370,475,517,68,86,1516,144144.2716,averageSemi-Detached
Halton,176444.3516,370,475,517,68,86,1516,96958.07544,averageTerraced
Halton,176444.3516,370,475,517,68,86,1516,80714.61765,averageFlats
Halton,176444.3516,370,475,517,68,86,1516,567013.2326,averageOther
Warrington,245841.0646,674,1058,761,213,142,2848,332008.2626,averageDetached
Warrington,245841.0646,674,1058,761,213,142,2848,185337.5794,averageSemi-Detached
Warrington,245841.0646,674,1058,761,213,142,2848,134625.9001,averageTerraced
Warrington,245841.0646,674,1058,761,213,142,2848,112329.9577,averageFlats
Warrington,245841.0646,674,1058,761,213,142,2848,1083929.81,averageOther
Blackburn with Darwen,176948.038,241,395,802,44,96,1578,233506.2822,averageDetached
Blackburn with Darwen,176948.038,241,395,802,44,96,1578,135392.9747,averageSemi-Detached
Blackburn with Darwen,176948.038,241,395,802,44,96,1578,98859.72569,averageTerraced
Blackburn with Darwen,176948.038,241,395,802,44,96,1578,89975,averageFlats
Blackburn with Darwen,176948.038,241,395,802,44,96,1578,898170.4688,averageOther
Blackpool,130557.6397,155,835,776,176,159,2101,206403.2323,averageDetached
Blackpool,130557.6397,155,835,776,176,159,2101,123825.4144,averageSemi-Detached
Blackpool,130557.6397,155,835,776,176,159,2101,97223.72036,averageTerraced
Blackpool,130557.6397,155,835,776,176,159,2101,75438.64205,averageFlats
Blackpool,130557.6397,155,835,776,176,159,2101,315673.4025,averageOther
"Kingston upon Hull, City of",260771.6512,258,818,1106,136,225,2543,202810.5775,averageDetached
"Kingston upon Hull, City of",260771.6512,258,818,1106,136,225,2543,128529.3753,averageSemi-Detached
"Kingston upon Hull, City of",260771.6512,258,818,1106,136,225,2543,106473.6184,averageTerraced
"Kingston upon Hull, City of",260771.6512,258,818,1106,136,225,2543,107821.6029,averageFlats
"Kingston upon Hull, City of",260771.6512,258,818,1106,136,225,2543,1658918.182,averageOther
East Riding of Yorkshire,207393.8313,1896,1878,1322,428,243,5767,274616.0775,averageDetached
East Riding of Yorkshire,207393.8313,1896,1878,1322,428,243,5767,162027.9803,averageSemi-Detached
East Riding of Yorkshire,207393.8313,1896,1878,1322,428,243,5767,130728.2148,averageTerraced
East Riding of Yorkshire,207393.8313,1896,1878,1322,428,243,5767,114106.6192,averageFlats
East Riding of Yorkshire,207393.8313,1896,1878,1322,428,243,5767,614894.0823,averageOther
North East Lincolnshire,136434.7387,537,796,812,126,106,2377,206036.879,averageDetached
North East Lincolnshire,136434.7387,537,796,812,126,106,2377,133280.3291,averageSemi-Detached
North East Lincolnshire,136434.7387,537,796,812,126,106,2377,80330.70567,averageTerraced
North East Lincolnshire,136434.7387,537,796,812,126,106,2377,111782.9206,averageFlats
North East Lincolnshire,136434.7387,537,796,812,126,106,2377,266596.6698,averageOther
